,index,attendance,away_assists,away_at_bats,away_average_leverage_index,away_base_out_runs_added,away_base_out_runs_saved,away_bases_on_balls,away_batting_average,away_earned_runs,away_fly_balls,away_game_score,away_grounded_balls,away_hits,away_home_runs,away_inherited_runners,away_inherited_score,away_innings_pitched,away_line_drives,away_on_base_percentage,away_on_base_plus,away_pitches,away_plate_appearances,away_putouts,away_rbi,away_runs,away_slugging_percentage,away_strikeouts,away_strikes,away_strikes_by_contact,away_strikes_looking,away_strikes_swinging,away_unknown_bat_type,away_win_probability_added,away_win_probability_by_pitcher,away_win_probability_for_offensive_player,away_win_probability_subtracted,date,duration,home_assists,home_at_bats,home_average_leverage_index,home_base_out_runs_added,home_base_out_runs_saved,home_bases_on_balls,home_batting_average,home_earned_runs,home_fly_balls,home_game_score,home_grounded_balls,home_hits,home_home_runs,home_inherited_runners,home_inherited_score,home_innings_pitched,home_line_drives,home_on_base_percentage,home_on_base_plus,home_pitches,home_plate_appearances,home_putouts,home_rbi,home_runs,home_slugging_percentage,home_strikeouts,home_strikes,home_strikes_by_contact,home_strikes_looking,home_strikes_swinging,home_unknown_bat_type,home_win_probability_added,home_win_probability_by_pitcher,home_win_probability_for_offensive_player,home_win_probability_subtracted,losing_abbr,losing_name,time,time_of_day,venue,winner,winning_abbr,winning_name,location
20,SLN/SLN201904210,42765,9,35,0.77,-0.7,-1.9,3,0.2,4.0,14,34,9,7,0,0,0,8.0,5,0.282,0.825,133,39,24,4,4,0.543,12,102,53,24,25,0,0.531,-0.284,-0.214,-0.748,"Sunday, April 21, 2019",3:07,7,34,0.97,1.9,0.7,2,0.235,4.5,14,48,14,8,4,1,0,9.0,7,0.278,0.572,161,36,27,6,6,0.294,6,87,49,22,16,0,0.66,0.215,0.285,-0.377,NYM,New York Mets,1:16 p.m. Local,Day,Busch Stadium III,Home,STL,St. Louis Cardinals,Away
21,NYN/NYN201904220,25293,9,29,0.74,-3.4,-1.1,2,0.103,1.0,11,50,9,3,1,4,2,8.0,6,0.161,0.403,135,32,24,1,1,0.241,10,92,44,28,20,0,0.268,-0.158,-0.342,-0.608,"Monday, April 22, 2019",2:46,8,32,0.91,1.1,3.4,2,0.281,3.38,12,66,13,9,1,0,0,9.0,5,0.351,0.758,141,37,27,5,5,0.406,8,87,52,28,7,0,0.597,0.343,0.156,-0.44,PHI,Philadelphia Phillies,8:45 p.m. Local,Night,Citi Field,Home,NYM,New York Mets,Home
22,NYN/NYN201904230,26049,6,30,0.4,-4.4,-5.1,2,0.167,0.0,7,42,10,5,2,0,0,8.0,5,0.219,0.419,156,32,24,0,0,0.2,13,92,47,24,21,0,0.084,-0.275,-0.224,-0.308,"Tuesday, April 23, 2019",2:43,8,36,0.44,5.1,4.4,5,0.278,9.0,19,78,10,10,0,0,0,9.0,10,0.366,0.838,136,41,27,8,9,0.472,7,94,54,21,19,0,0.493,0.225,0.276,-0.218,PHI,Philadelphia Phillies,7:10 p.m. Local,Night,Citi Field,Home,NYM,New York Mets,Home
23,NYN/NYN201904240,27685,12,38,1.28,1.6,4.4,3,0.263,6.0,13,64,17,10,0,0,0,9.0,4,0.333,0.807,148,44,27,6,6,0.474,10,108,59,27,22,0,0.558,0.526,-0.024,-0.581,"Wednesday, April 24, 2019",3:21,8,32,0.82,-4.4,-1.6,3,0.188,0.0,8,56,15,6,1,3,0,9.0,2,0.278,0.465,170,36,27,0,0,0.188,9,87,47,22,18,0,0.462,0.025,-0.524,-0.986,NYM,New York Mets,7:11 p.m. Local,Night,Citi Field,Away,PHI,Philadelphia Phillies,Home
24,NYN/NYN201904260,28131,7,37,0.35,5.6,2.4,6,0.27,10.0,13,47,10,10,0,2,0,9.0,9,0.4,0.778,150,45,27,10,10,0.378,14,112,60,30,22,0,0.752,0.131,0.37,-0.382,"Friday, April 26, 2019",3:20,7,34,0.69,-2.4,-5.6,4,0.206,2.0,19,36,7,7,0,0,0,9.0,12,0.289,0.613,181,38,27,2,2,0.324,8,95,55,22,18,0,0.135,-0.37,-0.131,-0.268,NYM,New York Mets,9:52 p.m. Local,Night,Citi Field,Away,MIL,Milwaukee Brewers,Home
25,NYN/NYN201904270,40610,9,38,1.35,3.6,-1.6,6,0.368,8.0,13,56,14,14,2,3,1,9.0,7,0.455,1.007,164,44,27,7,8,0.553,11,109,64,26,19,0,0.932,0.049,0.452,-0.481,"Saturday, April 27, 2019",3:57,12,36,0.74,1.6,-3.6,3,0.333,6.0,13,29,10,12,2,0,0,9.0,8,0.4,0.9,171,40,27,5,6,0.5,13,108,60,22,26,0,0.896,-0.45,-0.049,-0.946,NYM,New York Mets,7:11 p.m. Local,Night,Citi Field,Away,MIL,Milwaukee Brewers,Home
26,NYN/NYN201904280,25756,10,30,0.98,-2.4,-1.1,0,0.167,2.0,10,48,12,5,0,5,1,8.0,3,0.167,0.433,157,30,24,2,2,0.267,8,80,42,29,9,0,0.464,-0.257,-0.244,-0.709,"Sunday, April 28, 2019",2:52,11,32,1.08,1.1,2.4,5,0.281,4.5,14,63,11,9,1,0,0,9.0,8,0.378,0.785,128,37,27,5,5,0.406,7,97,54,23,20,0,0.808,0.244,0.257,-0.551,MIL,Milwaukee Brewers,1:11 p.m. Local,Day,Citi Field,Home,NYM,New York Mets,Home
27,NYN/NYN201904290,20766,6,32,1.53,0.6,0.4,6,0.281,5.0,17,36,11,9,0,5,1,9.0,7,0.4,0.869,161,41,27,5,5,0.469,6,96,65,22,9,0,1.213,0.32,0.177,-1.031,"Monday, April 29, 2019",3:15,6,33,1.5,-0.4,-0.6,7,0.182,4.0,16,43,7,6,1,0,0,9.0,6,0.341,0.614,137,41,27,4,4,0.273,10,92,45,32,15,0,0.718,-0.179,-0.32,-1.038,NYM,New York Mets,7:10 p.m. Local,Night,Citi Field,Away,CIN,Cincinnati Reds,Home
28,NYN/NYN201904300,20836,11,37,1.2,-1.9,0.4,6,0.216,2.7,17,60,7,8,1,3,1,9.1,5,0.341,0.665,148,44,28,3,3,0.324,13,108,58,32,18,0,1.121,-0.263,-0.237,-1.357,"Tuesday, April 30, 2019",3:24,5,33,1.71,-0.4,1.9,3,0.273,3.86,10,60,13,9,1,5,0,10.0,4,0.324,0.749,171,38,30,4,4,0.424,12,96,45,26,25,0,0.99,0.236,0.263,-0.726,CIN,Cincinnati Reds,7:11 p.m. Local,Night,Citi Field,Home,NYM,New York Mets,Home
29,NYN/NYN201905010,22119,8,31,1.35,-3.4,4.4,3,0.129,1.0,13,70,10,4,0,3,0,9.0,5,0.229,0.454,125,35,27,1,1,0.226,8,93,59,16,18,0,0.79,0.738,-0.238,-1.027,"Wednesday, May 1, 2019",2:46,8,32,1.41,-4.4,3.4,1,0.156,0.0,13,75,9,5,1,1,0,9.0,4,0.182,0.401,135,33,27,0,0,0.219,10,85,51,20,14,0,0.228,0.238,-0.737,-0.965,NYM,New York Mets,7:10 p.m. Local,Night,Citi Field,Away,CIN,Cincinnati Reds,Home
